type, title, names, conference, city, start_year, start_month, start_date, end_year, end_month, end_date
oral, プラズマ吸収分光計測に向けた広波長範囲高速高感度半導体レーザーシステムの開発, 第70回年次大会(2015年), 蓮尾昌裕; 藤井恵介; 四竈泰一; 鳥井翔; 山脇翔太; 片山光一, 東京, 2015, 09, 25, 2015, 09, 28
oral, 磁場閉じ込め高温プラズマ中中性水素原子輸送の不純物イオン密度依存性,　第70回年次大会(2015年), 藤井恵介; 中井悠太; 後藤基志; 森田繁; 蓮尾昌裕, 東京, 2015, 09, 25, 2015, 09, 28
oral, 高温ヘリカルプラズマの放電シナリオの開発, 第69回年次大会(2014), 永岡賢一; 村上定義; 高橋裕己; 中野治久; 竹入康彦; 長壁正樹; 居田克巳; 吉沼幹朗; 横山雅之; 藤井恵介; 森田繁; 後藤基志; 關良輔; 鈴木千尋; 木崎雅志; 池田勝則; 津守克嘉; 笠原寛史; 斎藤健二; 関哲夫; 武藤敬; 伊神弘恵; 吉村泰夫; 下妻隆; 久保伸; LHDグループ, 東京, 2014, 3, 27, 2014, 3, 30
oral, 高イオン温度LHDプラズマに対する高ダイナミックレンジBalmer-α線分光計測, 第69回年次大会(2014), 中井悠太; 篠原正季; 高橋佑理子; 後藤基志; 森田繁; 蓮尾昌裕; 藤井 恵介, 東京, 2014, 3, 27, 2014, 3, 30
oral, LHDプラズマ中タングステン可視域禁制線の高波長分解偏光分離分光計測, 第69回年次大会(2014), 藤井恵介; 加藤太治; l中村信行; 坂上裕之; 中井悠太; 篠原正季; 高橋佑理子; 後藤基志; 森田繁; 蓮尾 昌裕, 東京, 2014, 3, 27, 2014, 3, 30
oral, LHDにおけるタングステン溶発プラズマ発光の可視全域同時高分解計測, 日本物理学会 2013年秋季大会, 篠原正季; 田中博隆; 後藤基志; 森田繁; 藤井恵介; 四竈泰一; 蓮尾昌裕, 徳島, 2013, 9, 20, 2013, 9, 23
oral, 高ダイナミックレンジ分光計測のためのスペクトル裾部装置関数の制御, 日本物理学会 2013年秋季大会, 渥美俊介; 四竈泰一; 蓮尾昌裕; 藤井恵介, 徳島, 2013, 9, 20, 2013, 9, 23
oral, 垂直面発振レーザ吸収分光法によるヘリウムマイクロプラズマのガス温度計測, 日本物理学会 2013年秋季大会, 鳥井翔; 山脇翔太; 片山光一; 難波愼一; 藤井恵介; 四竈泰一; 蓮尾昌裕, 徳島, 2013, 9, 20, 2013, 9, 23
oral, Balmer-α線スペクトル高ダイナミックレンジ計測システムの開発, 第68回年次大会(2013), 渥美俊介; 藤井恵介; 渡辺翔; 後藤基志; 森田繁; 蓮尾昌裕, 広島, 2013, 03, 26, 2013, 03, 29
oral, LHDプラズマ中Balmer-α線の高ダイナミックレンジ高分解分光計測, 第68回年次大会(2013), 藤井恵介; 渥美俊介; 渡辺翔; 後藤基志; 森田繁; 蓮尾昌裕, 広島, 2013, 03, 26, 2013, 03, 29
oral, 励起ネオン原子の原子衝突によるオリエンテーション緩和分光測定, 日本物理学会 2012年秋季大会, 松隈啓; Cristian Bahrim; 藤井恵介; 四竃泰一; 蓮尾昌裕, 横浜, 2012, 09, 18, 2012, 09, 21
oral, 分光計測に基づく粒子ソース項の評価と粒子輸送に与えるその影響, 第67回年次大会(2012), 後藤基志; 澤田圭司; 藤井恵介; 蓮尾昌裕; 森田繁, 西宮, 2013, 03, 24, 2013, 03, 27
# oral, LHDにおける金属ペレット溶発プラズマの広波長帯域同時高分解分光計測II, 第67回年次大会(2012), 田中博隆; 藤井恵介; 篠原正季; 四竈泰一; 後藤基志; 森田繁; 蓮尾昌裕, 
oral, 高速Balmer-α線形状計測によるLHD中プラズマ揺動の観測II, 第67回年次大会(2012), 藤井恵介; 四竈泰一; 後藤基志; 森田繁; 蓮尾昌裕, 西宮, 2013, 03, 24, 2013, 03, 27
# oral, 光電子増倍管リニアアレイを用いたLHDプラズマにおけるBalmer-α線プロファイルの高速高波長分解計測, 第67回年次大会(2012) (中止), 藤井恵介; 四竈泰一; 後藤基志; 森田繁; 蓮尾昌裕, 新潟, 2011, 1, 1, 2011, -, -
